user_no,accuracy,f1_score
1,0.9346590909090908,0.9346163475283268
2,0.8984126984126984,0.8983963148504672
3,0.9789343246592316,0.9789260406793928
4,0.8612244897959184,0.8606300925228798
5,0.8741258741258742,0.874101247248716
6,0.9327102803738316,0.9325630252100842
7,0.8625498007968128,0.8625056068719411
8,0.7090909090909091,0.7082228116710875
9,0.9143686502177067,0.9141073832026488
10,0.8735632183908046,0.8735167998120301
11,100.0,1.0
12,0.8914473684210527,0.8906474820143886
13,0.8602693602693603,0.8596644037402331
14,0.7951318458417851,0.7950475202614541
15,0.9659224441833136,0.9658855127817012
16,0.8831417624521073,0.8830898470056505
17,0.851010101010101,0.8500914311379166
18,0.9494584837545126,0.9494162916585144
19,0.9309764309764309,0.9306128147196336
20,0.8474226804123711,0.8465294882320744
21,0.8931552587646077,0.8924354657687992
22,0.8442982456140351,0.8442915061536019
23,0.9754299754299754,0.9754298271032552
24,0.8970588235294118,0.8970365563486913
25,0.7743271221532091,0.7742922920605522
26,0.70625,0.7051738333064702
27,0.8592132505175983,0.8584700772200773
28,0.8505747126436781,0.8503968253968255
29,0.912,0.912
30,0.9682539682539684,0.9682407407407408
31,0.972289156626506,0.9722746278714788
32,0.7682926829268293,0.7654674093030258
33,0.9444444444444444,0.9443498962472052
34,0.956470588235294,0.9564440024984108
35,0.8499184339314845,0.8484174085064292
36,0.8788461538461538,0.8784140380568515
37,0.779874213836478,0.7795603089720737
38,0.9041533546325878,0.9032038594755072
39,0.8396793587174348,0.8387930477482717
40,0.8529862174578867,0.8520839625490788
