user_no,accuracy,f1_score
2,0.8825100133511349,0.8823336189660097
4,0.9656319290465631,0.9656315488664508
6,0.9787709497206704,0.9787671326951195
8,0.9308510638297872,0.9302809870203965
10,0.9503759398496241,0.9502747408372514
12,0.9649532710280374,0.9649502096436059
14,0.9186390532544378,0.9186388752119921
16,0.9344919786096256,0.9344862410739023
18,0.972936400541272,0.9729339720769422
20,0.9068413391557496,0.9067178111952205
22,0.992867332382311,0.9928644863142679
24,0.9252336448598131,0.9251748251748251
26,0.9235836627140975,0.9235251198665833
28,100.0,1.0
30,100.0,1.0
32,0.9552238805970149,0.9552194469886378
34,0.9181141439205955,0.9181060760008128
36,0.9956427015250545,0.9956426808429846
38,0.9645808736717828,0.9645804293281293
40,0.9337748344370861,0.9337654225678313
