user_no,accuracy,f1_score
1,0.906441717791411,0.9063780704541977
3,0.9485488126649076,0.9484927840763566
5,0.9087893864013267,0.9084631244255658
7,0.9587628865979382,0.9587602351459165
9,0.9485714285714286,0.9483856167918794
11,100.0,1.0
13,0.8917748917748918,0.8914485019997702
15,0.9194756554307116,0.919473113867584
17,0.8992094861660079,0.8992059431231862
19,0.9059304703476483,0.9059206343895339
21,0.9729093050647821,0.9728911021119868
23,0.99880810488677,0.9988065790353347
25,0.7657342657342657,0.7650880827745155
27,0.9572649572649573,0.9572608793538663
29,0.9579710144927536,0.9579454867583979
31,0.9804941482444733,0.9804920369966362
33,0.9897039897039897,0.9897031539888683
35,0.9592088998763906,0.9592086505713723
37,0.918809201623816,0.9186839788732394
39,0.8894736842105263,0.8893970893970893
