user_no,accuracy,f1_score
1,0.9647058823529412,0.9646863315330287
3,0.9152276295133438,0.9149406528189911
5,0.8862815884476535,0.8862812179267876
7,0.9956616052060737,0.9956586636029325
9,0.9656357388316151,0.9656255906255906
11,0.9518072289156626,0.9517598921281443
13,0.8618421052631579,0.8601946850329036
15,0.9864712514092446,0.9864708215124615
17,0.9225512528473804,0.9225508509755085
19,0.910828025477707,0.9099503251907615
21,0.933933933933934,0.9333563787206172
23,0.9916864608076009,0.9916830705189261
25,100.0,1.0
27,0.8368263473053892,0.836694231187607
29,0.946824224519941,0.9467124940966574
31,100.0,1.0
33,0.9896238651102465,0.9896199361848217
35,0.9532934131736527,0.9531964799268735
37,0.8909657320872274,0.8901888341543515
39,0.9721549636803875,0.972145777955021
